"storm_basin","storm_year","storm_name","location","lf_type","lf_id","datetime","record_identifier","storm_status","windspeed","pressure","rmw","ne_34kt","se_34kt","nw_34kt","sw_34kt","ne_50kt","se_50kt","nw_50kt","sw_50kt","ne_64kt","se_64kt","nw_64kt","sw_64kt","hurricane_category","lat","lon"
AL,1970,CELIA,POINT (-97.1 27.8),LF,1,1970-08-03 17:00:00.000 -0400,L,HU,120.0,944.0,10.0,,,,,,,,,,,,,4,27.8,-97.1
AL,1971,DORIA,POINT (-76.8 34.8),LF,1,1971-08-27 14:00:00.000 -0400,,TS,55.0,989.0,,,,,,,,,,,,,,,34.8,-76.8
AL,1971,EDITH,POINT (-92.4 30),LF,1,,,,,,,,,,,,,,,,,,,,30.0,-92.4
AL,1971,FERN,POINT (-96.5 28.3),LF,1,1971-09-10 14:00:00.000 -0400,,TS,60.0,979.0,,,,,,,,,,,,,,,28.3,-96.5
AL,1971,GINGER,POINT (-77 34.7),LF,1,1971-09-30 20:00:00.000 -0400,,TS,60.0,991.0,,,,,,,,,,,,,,,34.7,-77.0
AL,1972,AGNES,POINT (-85.4 29.9),LF,1,,,,,,,,,,,,,,,,,,,,29.9,-85.4
AL,1972,AGNES,POINT (-73.7 40.6),LF,2,,,,,,,,,,,,,,,,,,,,40.6,-73.7
AL,1972,AGNES,POINT (-73.7 40.6),LF,3,,,,,,,,,,,,,,,,,,,,40.6,-73.7
AL,1973,DELIA,POINT (-95 29.2),LF,1,,,,,,,,,,,,,,,,,,,,29.2,-95.0
AL,1974,CARMEN,POINT (-91.3 29.4),LF,1,1974-09-08 02:00:00.000 -0400,,HU,105.0,,,,,,,,,,,,,,,3,29.4,-91.3
AL,1975,ELOISE,POINT (-86.3 30.4),LF,1,,,,,,,,,,,,,,,,,,,,30.4,-86.3
AL,1976,BELLE,POINT (-73.3 40.6),LF,1,,,,,,,,,,,,,,,,,,,,40.6,-73.3
AL,1977,BABE,POINT (-91.2 29.5),LF,1,1977-09-05 08:00:00.000 -0400,,HU,65.0,,,,,,,,,,,,,,,1,29.5,-91.2
AL,1978,AMELIA,POINT (-97.4 26.4),LF,1,1978-07-30 20:00:00.000 -0400,,TS,45.0,1005.0,,,,,,,,,,,,,,,26.4,-97.4
AL,1979,BOB,POINT (-90.6 29.1),LF,1,1979-07-11 08:00:00.000 -0400,,HU,65.0,986.0,,,,,,,,,,,,,,1,29.1,-90.6
AL,1979,CLAUDETTE,POINT (-93.9 29.6),LF,1,1979-07-24 14:00:00.000 -0400,,TS,45.0,1000.0,,,,,,,,,,,,,,,29.6,-93.9
AL,1979,DAVID,POINT (-80.2 27.2),LF,1,1979-09-03 14:00:00.000 -0400,,HU,85.0,972.0,,,,,,,,,,,,,,2,27.2,-80.2
AL,1979,FREDERIC,POINT (-88.2 30.2),LF,1,,,,,,,,,,,,,,,,,,,,30.2,-88.2
AL,1980,ALLEN,POINT (-97.2 26.1),LF,1,1980-08-10 02:00:00.000 -0400,,HU,100.0,945.0,,,,,,,,,,,,,,3,26.1,-97.2
AL,1980,DANIELLE,POINT (-94.9 29.4),LF,1,1980-09-05 20:00:00.000 -0400,,TS,40.0,1004.0,,,,,,,,,,,,,,,29.4,-94.9
AL,1981,BRET,POINT (-76 37.4),LF,1,1981-07-01 02:00:00.000 -0400,,TD,30.0,1006.0,,,,,,,,,,,,,,,37.4,-76.0
AL,1981,DENNIS,POINT (-81.2 25.2),LF,1,1981-08-17 02:00:00.000 -0400,,TS,35.0,999.0,,,,,,,,,,,,,,,25.2,-81.2
AL,1982,CHRIS,POINT (-93.8 29.8),LF,1,1982-09-11 08:00:00.000 -0400,,TS,55.0,994.0,,,,,,,,,,,,,,,29.8,-93.8
AL,1983,ALICIA,POINT (-95.1 29.1),LF,1,1983-08-18 03:00:00.000 -0400,L,HU,100.0,962.0,10.0,,,,,,,,,,,,,3,29.1,-95.1
AL,1983,DEAN,POINT (-75.8 37.5),LF,1,1983-09-30 08:00:00.000 -0400,,TS,40.0,1010.0,,,,,,,,,,,,,,,37.5,-75.8
AL,1984,DIANA,POINT (-78 33.9),LF,1,1984-09-13 03:00:00.000 -0400,L,HU,80.0,979.0,15.0,,,,,,,,,,,,,1,33.9,-78.0
AL,1985,BOB,POINT (-80.5 32.2),LF,1,1985-07-24 23:00:00.000 -0400,L,HU,65.0,1003.0,20.0,,,,,,,,,,,,,1,32.2,-80.5
AL,1985,DANNY,POINT (-92.7 29.6),LF,1,1985-08-15 12:30:00.000 -0400,L,HU,80.0,987.0,15.0,,,,,,,,,,,,,1,29.6,-92.7
AL,1985,ELENA,POINT (-89.2 30.4),LF,1,1985-09-02 09:00:00.000 -0400,L,HU,100.0,959.0,10.0,,,,,,,,,,,,,3,30.4,-89.2
AL,1985,GLORIA,POINT (-75.6 35.2),LF,1,1985-09-27 01:30:00.000 -0400,L,HU,90.0,942.0,15.0,,,,,,,,,,,,,2,35.2,-75.6
AL,1985,GLORIA,POINT (-73.3 40.6),LF,2,1985-09-27 12:00:00.000 -0400,L,HU,75.0,961.0,10.0,,,,,,,,,,,,,1,40.6,-73.3
AL,1985,JUAN,POINT (-91.4 29.5),LF,1,1985-10-29 06:00:00.000 -0500,L,HU,65.0,974.0,15.0,,,,,,,,,,,,,1,29.5,-91.4
AL,1985,KATE,POINT (-85.4 30),LF,1,1985-11-21 17:30:00.000 -0500,L,HU,85.0,967.0,10.0,,,,,,,,,,,,,2,30.0,-85.4
AL,1986,BONNIE,POINT (-94.2 29.6),LF,1,1986-06-26 06:00:00.000 -0400,L,HU,75.0,990.0,10.0,,,,,,,,,,,,,1,29.6,-94.2
AL,1986,CHARLEY,POINT (-76.5 34.7),LF,1,1986-08-17 10:00:00.000 -0400,L,HU,65.0,990.0,15.0,,,,,,,,,,,,,1,34.7,-76.5
AL,1987,FLOYD,POINT (-81.5 24.7),LF,1,1987-10-12 14:00:00.000 -0400,,HU,65.0,993.0,,,,,,,,,,,,,,1,24.7,-81.5
AL,1988,FLORENCE,POINT (-89.3 29.1),LF,1,1988-09-09 22:00:00.000 -0400,L,HU,70.0,984.0,,,,,,,,,,,,,,1,29.1,-89.3
AL,1989,ALLISON,POINT (-95.7 28.7),LF,1,1989-06-26 09:00:00.000 -0400,L,TS,40.0,1002.0,,,,,,,,,,,,,,,28.7,-95.7
AL,1989,CHANTAL,POINT (-94.4 29.6),LF,1,1989-08-01 09:00:00.000 -0400,L,HU,70.0,986.0,15.0,,,,,,,,,,,,,1,29.6,-94.4
AL,1989,HUGO,POINT (-79.8 32.8),LF,1,1989-09-22 00:00:00.000 -0400,L,HU,120.0,934.0,20.0,,,,,,,,,,,,,4,32.8,-79.8
AL,1989,JERRY,POINT (-95 29.2),LF,1,1989-10-15 20:30:00.000 -0400,L,HU,75.0,983.0,10.0,,,,,,,,,,,,,1,29.2,-95.0
AL,1990,MARCO,POINT (-82.8 27.5),LF,1,1990-10-11 08:00:00.000 -0400,,TS,50.0,994.0,,,,,,,,,,,,,,,27.5,-82.8
AL,1991,BOB,POINT (-71.6 41.2),LF,1,1991-08-19 13:20:00.000 -0400,L,HU,90.0,962.0,25.0,,,,,,,,,,,,,2,41.2,-71.6
AL,1992,ANDREW,POINT (-80.3 25.5),LF,1,1992-08-24 05:05:00.000 -0400,L,HU,145.0,922.0,10.0,,,,,,,,,,,,,5,25.5,-80.3
AL,1992,ANDREW,POINT (-91.5 29.6),LF,2,1992-08-26 04:30:00.000 -0400,L,HU,100.0,956.0,20.0,,,,,,,,,,,,,3,29.6,-91.5
AL,1993,ARLENE,POINT (-97.2 27),LF,1,1993-06-20 02:00:00.000 -0400,,TS,35.0,1001.0,,,,,,,,,,,,,,,27.0,-97.2
AL,1994,ALBERTO,POINT (-86.5 30.4),LF,1,1994-07-03 11:00:00.000 -0400,L,TS,55.0,993.0,,,,,,,,,,,,,,,30.4,-86.5
AL,1994,BERYL,POINT (-85.6 30),LF,1,1994-08-15 20:00:00.000 -0400,L,TS,50.0,1000.0,,,,,,,,,,,,,,,30.0,-85.6
AL,1994,GORDON,POINT (-82 26.4),LF,1,1994-11-16 07:00:00.000 -0500,,TS,45.0,995.0,,,,,,,,,,,,,,,26.4,-82.0
AL,1995,ERIN,POINT (-80.3 27.7),LF,1,1995-08-02 02:15:00.000 -0400,L,HU,75.0,984.0,40.0,,,,,,,,,,,,,1,27.7,-80.3
AL,1995,ERIN,POINT (-87.2 30.3),LF,2,1995-08-03 12:00:00.000 -0400,L,HU,75.0,973.0,10.0,,,,,,,,,,,,,1,30.3,-87.2
AL,1995,JERRY,POINT (-80.2 27),LF,1,1995-08-23 14:00:00.000 -0400,L,TS,35.0,1006.0,,,,,,,,,,,,,,,27.0,-80.2
AL,1995,OPAL,POINT (-87.1 30.3),LF,1,1995-10-04 18:00:00.000 -0400,L,HU,100.0,942.0,50.0,,,,,,,,,,,,,3,30.3,-87.1
AL,1996,BERTHA,POINT (-77.8 34.3),LF,1,1996-07-12 16:00:00.000 -0400,L,HU,90.0,974.0,40.0,,,,,,,,,,,,,2,34.3,-77.8
AL,1996,FRAN,POINT (-78 33.9),LF,1,1996-09-05 20:30:00.000 -0400,L,HU,100.0,954.0,40.0,,,,,,,,,,,,,3,33.9,-78.0
AL,1996,JOSEPHINE,POINT (-84.1 29.9),LF,1,,,,,,,,,,,,,,,,,,,,29.9,-84.1
AL,1997,DANNY,POINT (-89.7 29.3),LF,1,1997-07-18 05:00:00.000 -0400,L,HU,65.0,989.0,10.0,,,,,,,,,,,,,1,29.3,-89.7
AL,1997,DANNY,POINT (-88.1 30.2),LF,2,1997-07-19 06:00:00.000 -0400,L,HU,70.0,984.0,10.0,,,,,,,,,,,,,1,30.2,-88.1
AL,1998,BONNIE,POINT (-77.7 34.4),LF,1,1998-08-27 00:00:00.000 -0400,L,HU,95.0,964.0,60.0,,,,,,,,,,,,,2,34.4,-77.7
AL,1998,EARL,POINT (-85.7 30.1),LF,1,1998-09-03 02:00:00.000 -0400,L,HU,70.0,987.0,70.0,,,,,,,,,,,,,1,30.1,-85.7
